state,city,year,CVAPCity,PctCauc,PctB,PctLH,PctAPI,PctAME,PctSA,PctIndO,medianM,meanM,S,ESType,enep,enepWoman,enepColor,enlp,enlpWoman,enlpColor,Women_run,Women_win,MS,State,d,Women_run_e,Women_run_d,Women_win_e,Women_win_d
CA,Atascadero,2016,NA,89,2,14,2,NA,NA,NA,2,2,5,ALP,1.84468143641499,1,NA,1,1,NA,1,1,10,CA,city,1,1,1,1
CA,Atascadero,2018,NA,89,2,14,2,NA,NA,NA,2,2,5,ALP,1.8371710444306288,1.8371710444306288,NA,2,2,NA,2,2,10,CA,city,2,2,2,2
CA,Avalon ,2016,NA,94,1,62,0.5,NA,NA,NA,2,2,5,ALP,1,NA,NA,1,NA,NA,0,0,10,CA,city,0,0,0,0
CA,Azusa,2017,NA,45,4,67,8,NA,NA,NA,2,2,5,ALP,1.879913040328176,NA,NA,2,NA,2,0,0,10,CA,city,0,0,0,0
CA,Baldwin Park ,2015,NA,35,1,79,15,NA,NA,NA,2,2,5,ALP,1,NA,NA,1,NA,NA,0,0,10,CA,city,0,0,0,0
CA,Baldwin Park ,2018,NA,35,1,79,15,NA,NA,NA,2,2,5,ALP,1.1025238646815052,1,1,1,1,1,1,1,10,CA,city,1,1,1,1
CA,Bell Gardens ,2018,NA,63,1,97,0.5,NA,NA,NA,3,3,5,ALP,1,1,1,1,1,1,3,2,15,CA,city,2,2,2,2
CA,Bell,2015,NA,64,1,92,0.5,NA,NA,NA,3,3,5,ALP,1,NA,NA,1,NA,NA,0,0,15,CA,city,0,0,0,0
CA,Bell,2017,NA,64,1,92,0.5,NA,NA,NA,2,2,5,ALP,1,1,1,1,1,1,4,2,10,CA,city,2,2,2,2
CA,Bellflower,2017,NA,35,14,51,11,NA,NA,NA,2,2,5,ALP,2.73939107638221,NA,1,2,NA,1,0,0,10,CA,city,0,0,0,0
CA,Berkeley,2010,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1,1,1,1,1,1,4,1,8,CA,1,1,1,1,1
CA,Berkeley,2010,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1,1,1,1,1,1,4,1,8,CA,4,1,0,1,0
CA,Berkeley,2010,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1,1,1,1,1,1,4,1,8,CA,7,1,0,1,0
CA,Berkeley,2010,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1,1,1,1,1,1,4,1,8,CA,8,1,0,1,0
CA,Berkeley,2012,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1,1,1,1,1,1,4,1,8,CA,2,1,0,1,0
CA,Berkeley,2012,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1,1,1,1,1,1,4,1,8,CA,3,1,0,1,0
CA,Berkeley,2012,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1,1,1,1,1,1,4,1,8,CA,5,1,0,1,0
CA,Berkeley,2012,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1,1,1,1,1,1,4,1,8,CA,6,1,1,1,1
CA,Berkeley,2014,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1,1,NA,1,1,1,2,1,8,CA,1,1,0,1,0
CA,Berkeley,2014,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1,1,NA,1,1,1,2,1,8,CA,7,1,0,1,0
CA,Berkeley,2014,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1,1,NA,1,1,1,2,1,8,CA,8,1,1,1,1
CA,Berkeley,2016,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1.3144805277918,1.313124935367359,1.313124935367359,1,1,1,6,2,8,CA,2,2,1,2,1
CA,Berkeley,2016,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1.3144805277918,1.313124935367359,1.313124935367359,1,1,1,6,2,8,CA,3,2,0,2,0
CA,Berkeley,2016,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1.3144805277918,1.313124935367359,1.313124935367359,1,1,1,6,2,8,CA,5,2,0,2,0
CA,Berkeley,2016,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1.3144805277918,1.313124935367359,1.313124935367359,1,1,1,6,2,8,CA,6,2,1,2,1
CA,Berkeley,2017,NA,62,9,11,22,NA,NA,NA,1,1,8,rcv,1,1,NA,1,1,NA,1,1,8,CA,4,1,1,1,1
CA,Berkeley,2018,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1.3373601326286624,1.316262799870446,NA,1.6,1.6,NA,7,3,8,CA,1,3,1,3,1
CA,Berkeley,2018,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1.3373601326286624,1.316262799870446,NA,1.6,1.6,NA,7,3,8,CA,4,3,1,3,1
CA,Berkeley,2018,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1.3373601326286624,1.316262799870446,NA,1.6,1.6,NA,7,3,8,CA,7,3,0,3,0
CA,Berkeley,2018,NA,62,9,11,22,NA,NA,NA,1,1,8,RCV,1.3373601326286624,1.316262799870446,NA,1.6,1.6,NA,7,3,8,CA,8,3,1,3,1
CA,Beverly Hills,2017,NA,86,3,6,7,NA,NA,NA,3,3,5,ALP,1.945376461001899,1.8710859907981696,NA,1.7999999999999998,NA,NA,3,0,15,CA,city,0,0,0,0
CA,Biggs,2016,NA,74,1,36,3,NA,NA,NA,2,2,5,ALP,1,NA,NA,1,NA,NA,0,0,10,CA,city,0,0,0,0
CA,Biggs,2018,NA,74,1,36,3,NA,NA,NA,3,3,5,ALP,1.5610268197421342,1,NA,1.7999999999999998,1,NA,1,1,15,CA,city,1,1,1,1
CA,Brea,2016,NA,71,1,24,18,NA,NA,NA,2,2,5,ALP,1,1,NA,1,1,NA,1,1,10,CA,city,1,1,1,1
CA,Brea,2018,NA,71,1,24,18,NA,NA,NA,3,3,5,ALP,1.9591192846829832,1,NA,1.7999999999999998,1,1,1,1,15,CA,city,1,1,1,1
CA,Brentwood,2016,NA,73,6,29,7,NA,NA,NA,2,2,5,ALP,1.4094189257204204,1,NA,1,1,1,2,2,10,CA,city,2,2,2,2
CA,Brentwood,2018,NA,73,6,29,7,NA,NA,NA,2,2,5,ALP,2.1085024652119895,1,1,2,NA,1,1,0,10,CA,city,0,0,0,0
CA,Buena Park,2016,NA,53,5,38,26,NA,NA,NA,1,1,5,SSD,1.1808777281476863,1,NA,1,NA,NA,1,0,5,CA,1,0,0,0,0
CA,Buena Park,2016,NA,53,5,38,26,NA,NA,NA,1,1,5,SSD,1.1808777281476863,1,NA,1,NA,NA,1,0,5,CA,4,0,0,0,0
CA,Buena Park,2018,NA,53,5,38,26,NA,NA,NA,1,1,5,SSD,2.4662163115975417,1.9851731520257905,1.9851731520257905,1.7999999999999998,1.7999999999999998,1,3,2,5,CA,1,2,1,2,1
CA,Buena Park,2018,NA,53,5,38,26,NA,NA,NA,1,1,5,SSD,2.4662163115975417,1.9851731520257905,1.9851731520257905,1.7999999999999998,1.7999999999999998,1,3,2,5,CA,2,2,1,2,1
