d,State,city,year,CVAPCity,CVAPd,PctCauc,PctB,PctLH,PctAPI,PctAME,PctSA,PctIndO,S,M,ESType,candidate,party,win,race,gender,votes,MS,Women_run_d,Women_run_e,Women_win_e,Women_win_d
city,AUS,Strathfield,2017,NA,NA,14,NA,NA,41,NA,NA,NA,7,7,STV,HALL Nella,11,1,1,1,291,49,4,4,4,4
city,AUS,Strathfield,2017,NA,NA,14,NA,NA,41,NA,NA,NA,7,7,STV,PENSABENE Karen,12,1,1,1,260,49,4,4,4,4
city,AUS,Strathfield,2017,NA,NA,14,NA,NA,41,NA,NA,NA,7,7,STV,BLACKMORE Matthew,11.1,1,1,0,70,49,4,4,4,4
city,AUS,Strathfield,2017,NA,NA,14,NA,NA,41,NA,NA,NA,7,7,STV,DOUEIHI Antoine,13,1,6,0,55,49,4,4,4,4
city,AUS,Strathfield,2017,NA,NA,14,NA,NA,41,NA,NA,NA,7,7,STV,DUGGAN Maryanne,12,1,1,1,54,49,4,4,4,4
city,AUS,Strathfield,2017,NA,NA,14,NA,NA,41,NA,NA,NA,7,7,STV,KOKKOLIS Stephanie,13,1,1,1,30,49,4,4,4,4
city,AUS,Sydney,2016,NA,NA,34,NA,NA,11,NA,NA,NA,10,10,STV,MOORE Clover,14,1,1,1,2499,100,7,7,7,7
city,AUS,Sydney,2016,NA,NA,34,NA,NA,11,NA,NA,NA,10,10,STV,FORSTER Christine,13,1,1,1,648,100,7,7,7,7
city,AUS,Sydney,2016,NA,NA,34,NA,NA,11,NA,NA,NA,10,10,STV,SCOTT Linda,12,1,1,1,564,100,7,7,7,7
city,AUS,Sydney,2016,NA,NA,34,NA,NA,11,NA,NA,NA,10,10,STV,VITHOULKAS Angela,11,1,1,1,364,100,7,7,7,7
city,AUS,Sydney,2016,NA,NA,34,NA,NA,11,NA,NA,NA,10,10,STV,PHELPS Kerryn,14,1,1,1,105,100,7,7,7,7
city,AUS,Sydney,2016,NA,NA,34,NA,NA,11,NA,NA,NA,10,10,STV,CHUNG Craig,13,1,4,0,73,100,7,7,7,7
city,AUS,Sydney,2016,NA,NA,34,NA,NA,11,NA,NA,NA,10,10,STV,THALIS Philip,14,1,1,0,62,100,7,7,7,7
city,AUS,Sydney,2016,NA,NA,34,NA,NA,11,NA,NA,NA,10,10,STV,SCULLY Jess,14,1,2,1,49,100,7,7,7,7
city,AUS,Sydney,2016,NA,NA,34,NA,NA,11,NA,NA,NA,10,10,STV,MILLER Jess,14,1,1,1,37,100,7,7,7,7
city,AUS,Sydney,2016,NA,NA,34,NA,NA,11,NA,NA,NA,10,10,STV,KOK Robert,14,1,4,0,16,100,7,7,7,7
city,CA,Agoura Hills ,2015,NA,NA,83,2,11,6,NA,NA,NA,5,2,ALP,Illece Buckley Weber,NA,1,NA,NA,1695,10,0,0,0,0
city,CA,Agoura Hills ,2015,NA,NA,83,2,11,6,NA,NA,NA,5,2,ALP,Linda L. Northrup,NA,1,NA,NA,1425,10,0,0,0,0
city,CA,Agoura Hills ,2018,NA,NA,83,2,11,6,NA,NA,NA,5,3,ALP,Deborah Klein Lopez,2,1,1,1,5934,15,1,1,1,1
city,CA,Agoura Hills ,2018,NA,NA,83,2,11,6,NA,NA,NA,5,3,ALP,Chris Anstead,2,1,1,0,4462,15,1,1,1,1
