d,State,city,year,CVAPCity,CVAPd,PctCauc,PctB,PctLH,PctAPI,PctAME,PctSA,PctIndO,S,M,ESType,candidate,party,win,race,gender,votes,MS,Women_run_d,Women_run_e,Women_win_e,Women_win_d
1,CA,Fremont,2018,NA,NA,34,3,15,49,NA,NA,NA,6,1,SSD,Teresa Keng,1,1,4,1,3880,6,1,2,2,1
2,CA,Fremont,2018,NA,NA,34,3,15,49,NA,NA,NA,6,1,SSD,Rick Jones,2,1,1,0,5000,6,0,2,2,0
3,CA,Fremont,2018,NA,NA,34,3,15,49,NA,NA,NA,6,1,SSD,Jenny Kassan,2,1,1,1,3613,6,1,2,2,1
4,CA,Fremont,2018,NA,NA,34,3,15,49,NA,NA,NA,6,1,SSD,Yang Shao,1,1,4,0,2939,6,0,2,2,0
7,CA,Frenso,2018,NA,NA,54,8,46,12,NA,NA,NA,7,1,SSD,Nelson Esparza,2,1,2,0,5591,7,0,0,0,0
1,CA,Fresno,2014,NA,NA,54,8,46,12,NA,NA,NA,7,1,SSD,Esmeralda Soria,2,1,2,1,5430,7,1,1,1,1
3,CA,Fresno,2014,NA,NA,54,8,46,12,NA,NA,NA,7,1,SSD,Oliver Baines,2,1,3,0,2785,7,0,1,1,0
5,CA,Fresno,2014,NA,NA,54,8,46,12,NA,NA,NA,7,1,SSD,Sal Quintero,2,1,2,0,3742,7,0,1,1,0
7,CA,Fresno,2014,NA,NA,54,8,46,12,NA,NA,NA,7,1,SSD,Clint Olivier,1,1,1,0,2077,7,0,1,1,0
5,CA,Fresno,2016,NA,NA,54,8,46,12,NA,NA,NA,7,1,SSD,Luis Chavez,2,1,2,0,8079,7,0,0,0,0
6,CA,Fresno,2016,NA,NA,54,8,46,12,NA,NA,NA,7,1,SSD,Garry Bredefeld,1,1,1,0,18721,7,0,0,0,0
1,CA,Fresno,2018,NA,NA,54,8,46,12,NA,NA,NA,7,1,SSD,Esmeralda Soria,2,1,2,1,6337,7,1,1,1,1
3,CA,Fresno,2018,NA,NA,54,8,46,12,NA,NA,NA,7,1,SSD,Miguel Arias,2,1,2,0,6072,7,0,1,1,0
5,CA,Fresno,2018,NA,NA,54,8,46,12,NA,NA,NA,7,1,SSD,Luis Chavez,2,1,2,0,7912,7,0,1,1,0
city,CA,Fullerton ,2016,NA,NA,54,3,33,23,NA,NA,NA,5,3,ALP,Jennifer Fitzgerald,1,1,1,1,20137,15,1,1,1,1
city,CA,Fullerton ,2016,NA,NA,54,3,33,23,NA,NA,NA,5,3,ALP,Bruce Whitaker,1,1,1,0,17006,15,1,1,1,1
city,CA,Fullerton ,2016,NA,NA,54,3,33,23,NA,NA,NA,5,3,ALP,Jesus Silva,2,1,2,0,16799,15,1,1,1,1
3,CA,Fullerton ,2018,NA,NA,54,3,33,23,NA,NA,NA,5,1,SSD,Jesus Silva,2,1,2,0,4066,5,0,0,0,0
5,CA,Fullerton ,2018,NA,NA,54,3,33,23,NA,NA,NA,5,1,SSD,Ahmad Zahra,2,1,6,0,2123,5,0,0,0,0
2,CA,Garden Grove ,2016,NA,NA,43,1,36,38,NA,NA,NA,6,1,SSD,John O'Neill,NA,1,1,0,7507,6,0,3,3,0
3,CA,Garden Grove ,2016,NA,NA,43,1,36,38,NA,NA,NA,6,1,SSD,Thu-Ha Nguyen,2,1,4,1,4657,6,1,3,3,1
5,CA,Garden Grove ,2016,NA,NA,43,1,36,38,NA,NA,NA,6,1,SSD,Stephanine Klopfenstein,1,1,1,1,4062,6,1,3,3,1
6,CA,Garden Grove ,2016,NA,NA,43,1,36,38,NA,NA,NA,6,1,SSD,Kim Nguyen,1,1,4,1,3144,6,1,3,3,1
1,CA,Garden Grove ,2018,NA,NA,43,1,36,38,NA,NA,NA,6,1,SSD,George Brietigam,1,1,1,0,2822,6,0,1,1,0
3,CA,Garden Grove ,2018,NA,NA,43,1,36,38,NA,NA,NA,6,1,SSD,Thu-Ha Nguyen,2,1,4,1,4270,6,1,1,1,1
4,CA,Garden Grove ,2018,NA,NA,43,1,36,38,NA,NA,NA,6,1,SSD,Phat Bui,1,1,4,0,2664,6,0,1,1,0
city,CA,Gardena,2017,NA,NA,23,23,37,38,NA,NA,NA,5,2,ALP,Rodney G. Tanaka,2,1,4,0,2747,10,0,0,0,0
city,CA,Gardena,2017,NA,NA,23,23,37,38,NA,NA,NA,5,2,ALP,"Harout ""Art"" Kaskanian",1,1,1,0,1760,10,0,0,0,0
city,CA,Glendora,2017,NA,NA,78,2,29,7,NA,NA,NA,5,2,ALP,Michael Allawos,1,1,1,0,3495,10,1,1,1,1
city,CA,Glendora,2017,NA,NA,78,2,29,7,NA,NA,NA,5,2,ALP,Karen K. Davis,1,1,1,1,2756,10,1,1,1,1
city,CA,Gridley,2016,NA,NA,80,1,51,0,NA,NA,NA,5,2,ALP,Chris Williams,1,1,1,0,1139,10,0,0,0,0
city,CA,Gridley,2016,NA,NA,80,1,51,0,NA,NA,NA,5,2,ALP,Gary Davidson,NA,1,1,0,993,10,0,0,0,0
city,CA,Gridley,2018,NA,NA,80,1,51,0,NA,NA,NA,5,3,ALP,Bruce Johnson,1,1,1,0,732,15,0,0,0,0
city,CA,Gridley,2018,NA,NA,80,1,51,0,NA,NA,NA,5,3,ALP,Todd Farr,1,1,1,0,697,15,0,0,0,0
city,CA,Gridley,2018,NA,NA,80,1,51,0,NA,NA,NA,5,3,ALP,Raymond Borges,1,1,1,0,529,15,0,0,0,0
city,CA,Grover Beach,2016,NA,NA,82,1,21,6,NA,NA,NA,5,2,ALP,Debbie Peterson,2,1,1,1,3118,10,1,1,1,1
city,CA,Grover Beach,2016,NA,NA,82,1,21,6,NA,NA,NA,5,2,ALP,Jeff Lee,2,1,1,0,2641,10,1,1,1,1
city,CA,Grover Beach,2018,NA,NA,82,1,21,6,NA,NA,NA,5,2,ALP,Mariam Shah,2,1,2,1,2772,10,2,2,2,2
city,CA,Grover Beach,2018,NA,NA,82,1,21,6,NA,NA,NA,5,2,ALP,Barbara Nicolls,NA,1,1,1,2297,10,2,2,2,2
city,CA,Hawaiian Gardens ,2015,NA,NA,59,3,78,10,NA,NA,NA,5,2,ALP,Hank Trimble,NA,1,NA,NA,453,10,0,0,0,0
city,CA,Hawaiian Gardens ,2015,NA,NA,59,3,78,10,NA,NA,NA,5,2,ALP,Myra Maravilla,NA,1,NA,NA,445,10,0,0,0,0
city,CA,Hawaiian Gardens ,2018,NA,NA,59,3,78,10,NA,NA,NA,5,3,ALP,Jesse Alvarado,2,1,1,0,1403,15,1,1,1,1
city,CA,Hawaiian Gardens ,2018,NA,NA,59,3,78,10,NA,NA,NA,5,3,ALP,Monica Rodriguez,2,1,2,1,1383,15,1,1,1,1
city,CA,Hawaiian Gardens ,2018,NA,NA,59,3,78,10,NA,NA,NA,5,3,ALP,Luis Roa,2,1,2,0,1299,15,1,1,1,1
city,CA,Hawthorne ,2015,NA,NA,47,27,53,6,NA,NA,NA,5,3,ALP,Nilo Michelin,NA,1,NA,NA,1533,15,0,0,0,0
city,CA,Hawthorne ,2015,NA,NA,47,27,53,6,NA,NA,NA,5,3,ALP,Haidar Awad,NA,1,NA,NA,1504,15,0,0,0,0
city,CA,Hawthorne ,2015,NA,NA,47,27,53,6,NA,NA,NA,5,3,ALP,Katrina Manning,NA,1,NA,NA,1470,15,0,0,0,0
city,CA,Hawthorne ,2018,NA,NA,47,27,53,6,NA,NA,NA,5,2,ALP,Olivia Valentine,2,1,3,1,8822,10,1,1,1,1
city,CA,Hawthorne ,2018,NA,NA,47,27,53,6,NA,NA,NA,5,2,ALP,Alex Monteiro,2,1,3,0,6721,10,1,1,1,1
city,CA,Hayward,2016,NA,NA,37,11,40,24,NA,NA,NA,7,4,ALP,Francisco Zermeno,2,1,2,0,12217,28,1,1,1,1
city,CA,Hayward,2016,NA,NA,37,11,40,24,NA,NA,NA,7,4,ALP,Mark Salinas,2,1,2,0,12214,28,1,1,1,1
city,CA,Hayward,2016,NA,NA,37,11,40,24,NA,NA,NA,7,4,ALP,Elisa Marquez,2,1,2,1,10420,28,1,1,1,1
city,CA,Hayward,2016,NA,NA,37,11,40,24,NA,NA,NA,7,4,ALP,Al Mendall,2,1,1,0,9985,28,1,1,1,1
city,CA,Hayward,2018,NA,NA,37,11,40,24,NA,NA,NA,7,3,ALP,Aisha Wahab,2,1,6,1,15949,21,2,2,2,2
city,CA,Hayward,2018,NA,NA,37,11,40,24,NA,NA,NA,7,3,ALP,Sara Lamnin,2,1,1,1,15172,21,2,2,2,2
city,CA,Hayward,2018,NA,NA,37,11,40,24,NA,NA,NA,7,3,ALP,Marvin Peixoto,2,1,2,0,10197,21,2,2,2,2
city,CA,Hercules,2016,NA,NA,28,17,12,44,NA,NA,NA,5,3,ALP,Dan Romero,2,1,2,0,6511,15,0,0,0,0
city,CA,Hercules,2016,NA,NA,28,17,12,44,NA,NA,NA,5,3,ALP,Roland Esquivias,2,1,4,0,3706,15,0,0,0,0
city,CA,Hercules,2016,NA,NA,28,17,12,44,NA,NA,NA,5,3,ALP,Gerard Boulanger,2,1,1,0,3026,15,0,0,0,0
city,CA,Hercules,2018,NA,NA,28,17,12,44,NA,NA,NA,5,2,ALP,Chris Kelley,2,1,1,1,5152,10,1,1,1,1
city,CA,Hercules,2018,NA,NA,28,17,12,44,NA,NA,NA,5,2,ALP,Dion Bailey,2,1,3,0,3739,10,1,1,1,1
city,CA,Hermosa Beach,2015,NA,NA,86,1,8,7,NA,NA,NA,5,2,ALP,Justin Massey,NA,1,NA,NA,2082,10,0,0,0,0
city,CA,Hermosa Beach,2015,NA,NA,86,1,8,7,NA,NA,NA,5,2,ALP,Jeff Duclos,NA,1,NA,NA,1966,10,0,0,0,0
city,CA,Hermosa Beach,2017,NA,NA,86,1,8,7,NA,NA,NA,5,3,ALP,Stacey Armato,NA,1,NA,NA,2288,15,0,0,0,0
city,CA,Hermosa Beach,2017,NA,NA,86,1,8,7,NA,NA,NA,5,3,ALP,Mary Campbell,NA,1,NA,NA,1934,15,0,0,0,0
city,CA,Hermosa Beach,2017,NA,NA,86,1,8,7,NA,NA,NA,5,3,ALP,H. S. Fangary,NA,1,NA,NA,1867,15,0,0,0,0
city,CA,Hermosa Beach,2018,NA,NA,86,1,8,7,NA,NA,NA,5,3,ALP,Stacey Armato,NA,1,NA,NA,2288,15,0,0,0,0
city,CA,Hermosa Beach,2018,NA,NA,86,1,8,7,NA,NA,NA,5,3,ALP,Mary Campbell,NA,1,NA,NA,1934,15,0,0,0,0
city,CA,Hermosa Beach,2018,NA,NA,86,1,8,7,NA,NA,NA,5,3,ALP,H. S. Fangary,NA,1,NA,NA,1867,15,0,0,0,0
city,CA,Huntington Beach,2016,NA,NA,78,1,17,11,NA,NA,NA,7,3,ALP,"Jill Hardy,",2,1,1,1,39107,21,2,2,2,2
city,CA,Huntington Beach,2016,NA,NA,78,1,17,11,NA,NA,NA,7,3,ALP,"Lyn Semeta,",1,1,1,1,34457,21,2,2,2,2
city,CA,Huntington Beach,2016,NA,NA,78,1,17,11,NA,NA,NA,7,3,ALP,"Patrick Brenden,",1,1,1,0,28424,21,2,2,2,2
city,CA,Huntington Beach,2018,NA,NA,78,1,17,11,NA,NA,NA,7,4,ALP,"Mike Posey,",1,1,1,0,34047,28,2,2,2,2
city,CA,Huntington Beach,2018,NA,NA,78,1,17,11,NA,NA,NA,7,4,ALP,"Barbara Delgleize,",1,1,1,1,28691,28,2,2,2,2
city,CA,Huntington Beach,2018,NA,NA,78,1,17,11,NA,NA,NA,7,4,ALP,"Kim Carr,",2,1,1,1,28030,28,2,2,2,2
city,CA,Huntington Beach,2018,NA,NA,78,1,17,11,NA,NA,NA,7,4,ALP,"Erik Peterson,",1,1,1,0,26129,28,2,2,2,2
city,CA,Huntington Park,2015,NA,NA,66,1,98,1,NA,NA,NA,5,3,ALP,Graciela Ortiz,NA,1,NA,NA,1048,15,0,0,0,0
city,CA,Huntington Park,2015,NA,NA,66,1,98,1,NA,NA,NA,5,3,ALP,Jhonny Pineda,NA,1,NA,NA,925,15,0,0,0,0
city,CA,Huntington Park,2015,NA,NA,66,1,98,1,NA,NA,NA,5,3,ALP,Marilyn Sanabria,NA,1,NA,NA,898,15,0,0,0,0
city,CA,Huntington Park,2017,NA,NA,66,1,98,1,NA,NA,NA,5,2,ALP,Karina Macias,2,1,2,1,1730,10,1,1,1,1
city,CA,Huntington Park,2017,NA,NA,66,1,98,1,NA,NA,NA,5,2,ALP,"Manuel ""Manny"" Avila",2,1,2,0,1408,10,1,1,1,1
city,CA,Huron,2016,NA,NA,84,0.5,99,0.5,NA,NA,NA,5,2,ALP,Hilda Placencia,2,1,2,1,476,10,1,1,1,1
city,CA,Huron,2018,NA,NA,84,0.5,99,0.5,NA,NA,NA,5,3,ALP,Roberto Pimentel,NA,1,2,0,315,15,0,0,0,0
city,CA,Huron,2018,NA,NA,84,0.5,99,0.5,NA,NA,NA,5,3,ALP,Mike Morales,NA,1,2,0,261,15,0,0,0,0
city,CA,Huron,2018,NA,NA,84,0.5,99,0.5,NA,NA,NA,5,3,ALP,Jorge Solorio,NA,1,2,0,198,15,0,0,0,0
city,CA,Irvine ,2016,NA,NA,54,2,9,38,NA,NA,NA,5,2,ALP,Christina Shea,1,1,1,1,28072,10,2,2,2,2
city,CA,Irvine ,2016,NA,NA,54,2,9,38,NA,NA,NA,5,2,ALP,Melissa Fox,2,1,1,1,24023,10,2,2,2,2
city,CA,Irvine ,2018,NA,NA,54,2,9,38,NA,NA,NA,5,2,ALP,Farrah Khan,2,1,4,1,23085,10,1,1,1,1
city,CA,Irvine ,2018,NA,NA,54,2,9,38,NA,NA,NA,5,2,ALP,Anthony Kuo,1,1,4,0,21071,10,1,1,1,1
city,CA,Irwindale ,2018,NA,NA,49,1,93,1,NA,NA,NA,5,2,ALP,"Hector ""Manuel"" Ortiz",2,1,2,0,291,10,0,0,0,0
city,CA,Irwindale ,2018,NA,NA,49,1,93,1,NA,NA,NA,5,2,ALP,"Albert F. ""Albie"" Ambriz",2,1,2,0,219,10,0,0,0,0
city,CA,Kerman ,2016,NA,NA,76,0,71,7,NA,NA,NA,5,2,ALP,Kanwaldeep Dhaliwa,2,1,4,0,1422,10,0,0,0,0
city,CA,Kerman ,2016,NA,NA,76,0,71,7,NA,NA,NA,5,2,ALP,Espiridion Sandoval,2,1,2,0,1153,10,0,0,0,0
1,CA,Kerman ,2018,NA,NA,76,0,71,7,NA,NA,NA,5,1,SSD,Ismael Herrera,NA,1,2,0,398,5,0,0,0,0
2,CA,Kerman ,2018,NA,NA,76,0,71,7,NA,NA,NA,5,1,SSD,Gary Yep,NA,1,4,0,721,5,0,0,0,0
city,CA,Kingsburg ,2016,NA,NA,69,0.5,49,5,NA,NA,NA,5,2,ALP,Laura North,NA,1,1,1,2600,10,1,1,1,1
city,CA,Kingsburg ,2016,NA,NA,69,0.5,49,5,NA,NA,NA,5,2,ALP,Sherman Dix,NA,1,1,0,2141,10,1,1,1,1
1,CA,Kingsburg ,2018,NA,NA,69,0.5,49,5,NA,NA,NA,5,1,SSD,Jewel Hurtado,2,1,2,1,292,5,1,1,1,1
5,CA,Kingsburg ,2018,NA,NA,69,0.5,49,5,NA,NA,NA,5,1,SSD,Vince Palomar,NA,1,2,0,280,5,0,1,1,0
city,CA,La Canada Flintridge,2017,NA,NA,71,0.5,5,26,NA,NA,NA,5,2,ALP,Jonathan C. Curtis,2,1,1,0,2665,10,0,0,0,0
city,CA,La Canada Flintridge,2017,NA,NA,71,0.5,5,26,NA,NA,NA,5,2,ALP,David A. Spence,1,1,1,0,2565,10,0,0,0,0
city,CA,La Habra Heights ,2017,NA,NA,79,0.5,24,13,NA,NA,NA,5,3,ALP,Brian Bergman,2,1,1,0,711,15,0,0,0,0
city,CA,La Habra Heights ,2017,NA,NA,79,0.5,24,13,NA,NA,NA,5,3,ALP,Carey Klingfus,1,1,1,0,574,15,0,0,0,0
city,CA,La Habra Heights ,2017,NA,NA,79,0.5,24,13,NA,NA,NA,5,3,ALP,Norm Zezula,1,1,1,0,572,15,0,0,0,0
city,CA,La Habra,2014,NA,NA,55,2,58,7,NA,NA,NA,5,2,ALP,James Gomez,1,1,1,0,10496,10,0,0,0,0
city,CA,La Habra,2014,NA,NA,55,2,58,7,NA,NA,NA,5,2,ALP,Jose Medrano,1,1,2,0,8711,10,0,0,0,0
city,CA,La Habra,2016,NA,NA,55,2,58,7,NA,NA,NA,5,3,ALP,Tim Shaw,1,1,1,0,13243,15,1,1,1,1
city,CA,La Habra,2016,NA,NA,55,2,58,7,NA,NA,NA,5,3,ALP,Rose Espinoza,2,1,2,1,9063,15,1,1,1,1
city,CA,La Habra,2016,NA,NA,55,2,58,7,NA,NA,NA,5,3,ALP,Tom Beamish,1,1,1,0,8597,15,1,1,1,1
city,CA,La Habra,2018,NA,NA,55,2,58,7,NA,NA,NA,5,2,ALP,Michele Steggell,1,1,1,1,3164,10,1,1,1,1
city,CA,La Habra,2018,NA,NA,55,2,58,7,NA,NA,NA,5,2,ALP,Nitesh Patel,1,1,4,0,2979,10,1,1,1,1
1,CA,La Mirada ,2017,NA,NA,54,2,40,18,NA,NA,NA,5,1,SSD,D1: John Lewis,2,1,1,0,442,5,0,0,0,0
2,CA,La Mirada ,2017,NA,NA,54,2,40,18,NA,NA,NA,5,1,SSD,D2: Andrew Sarega,NA,1,1,0,477,5,0,0,0,0
city,CA,La Palma,2016,NA,NA,40,7,14,46,NA,NA,NA,5,2,ALP,Gerard Goedhart,1,1,1,0,4086,10,0,0,0,0
city,CA,La Palma,2016,NA,NA,40,7,14,46,NA,NA,NA,5,2,ALP,Peter Kim,2,1,4,0,4040,10,0,0,0,0
city,CA,La Puente ,2018,NA,NA,64,2,86,8,NA,NA,NA,5,2,ALP,Valerie Muñoz,2,1,2,1,5144,10,1,1,1,1
city,CA,La Puente ,2018,NA,NA,64,2,86,8,NA,NA,NA,5,2,ALP,Charlie Klinakis,NA,1,1,0,3304,10,1,1,1,1
city,CA,La Verne,2017,NA,NA,77,4,29,8,NA,NA,NA,5,2,ALP,Robin M. Carde,2,1,1,1,3369,10,1,1,1,1
city,CA,La Verne,2017,NA,NA,77,4,29,8,NA,NA,NA,5,2,ALP,Muir Davis,2,1,1,0,2688,10,1,1,1,1
city,CA,Lafayette,2016,NA,NA,87,1,6,8,NA,NA,NA,5,2,ALP,Mike Anderson,1,1,3,0,8261,10,0,0,0,0
city,CA,Lafayette,2016,NA,NA,87,1,6,8,NA,NA,NA,5,2,ALP,Mark Mitchell,NA,1,1,0,7985,10,0,0,0,0
city,CA,Lafayette,2018,NA,NA,87,1,6,8,NA,NA,NA,5,2,ALP,Susan Candell,2,1,1,1,6408,10,2,2,2,2
city,CA,Lafayette,2018,NA,NA,87,1,6,8,NA,NA,NA,5,2,ALP,Teresa Gerringer,2,1,1,1,5231,10,2,2,2,2
city,CA,Laguna Beach ,2016,NA,NA,91,1,7,4,NA,NA,NA,5,2,ALP,Bob Whalen,2,1,1,0,7039,10,0,0,0,0
city,CA,Laguna Beach ,2016,NA,NA,91,1,7,4,NA,NA,NA,5,2,ALP,Steve Dicterow,1,1,1,0,5452,10,0,0,0,0
city,CA,Laguna Beach ,2018,NA,NA,91,1,7,4,NA,NA,NA,5,3,ALP,Peter Blake,NA,1,1,0,4881,15,2,2,2,2
city,CA,Laguna Beach ,2018,NA,NA,91,1,7,4,NA,NA,NA,5,3,ALP,Toni Iseman,2,1,1,1,4792,15,2,2,2,2
city,CA,Laguna Beach ,2018,NA,NA,91,1,7,4,NA,NA,NA,5,3,ALP,Sue Kempf,2,1,1,1,4483,15,2,2,2,2
city,CA,Laguna Hills ,2016,NA,NA,74,1,19,12,NA,NA,NA,5,2,ALP,Janine Heft,1,1,1,1,8165,10,1,1,1,1
city,CA,Laguna Hills ,2016,NA,NA,74,1,19,12,NA,NA,NA,5,2,ALP,Dore John Gilbert,1,1,1,0,5424,10,1,1,1,1
city,CA,Laguna Hills ,2018,NA,NA,74,1,19,12,NA,NA,NA,5,3,ALP,Don Sedgwick,1,1,1,0,6407,15,1,1,1,1
city,CA,Laguna Hills ,2018,NA,NA,74,1,19,12,NA,NA,NA,5,3,ALP,David Wheeler,1,1,1,0,5803,15,1,1,1,1
city,CA,Laguna Hills ,2018,NA,NA,74,1,19,12,NA,NA,NA,5,3,ALP,Erica Pezold,1,1,1,1,5723,15,1,1,1,1
city,CA,Laguna Niguel,2016,NA,NA,80,2,13,10,NA,NA,NA,5,3,ALP,Laurie Davies,1,1,1,1,19189,15,1,1,1,1
city,CA,Laguna Niguel,2016,NA,NA,80,2,13,10,NA,NA,NA,5,3,ALP,Jerry Slusiewicz,1,1,1,0,12658,15,1,1,1,1
city,CA,Laguna Niguel,2016,NA,NA,80,2,13,10,NA,NA,NA,5,3,ALP,John Jennings,1,1,1,0,11326,15,1,1,1,1
1,CA,Laguna Niguel,2018,NA,NA,80,2,13,10,NA,NA,NA,5,1,SSD,Sandy Rains,1,1,1,1,15015,5,1,2,2,1
2,CA,Laguna Niguel,2018,NA,NA,80,2,13,10,NA,NA,NA,5,1,SSD,Elaine Gennaway,1,1,1,1,18596,5,1,2,2,1
city,CA,Laguna Woods,2018,NA,NA,88,1,4,10,NA,NA,NA,5,2,ALP,Carol Moore,1,1,1,1,5472,10,1,1,1,1
city,CA,Laguna Woods,2018,NA,NA,88,1,4,10,NA,NA,NA,5,2,ALP,Joe Rainey,1,1,1,0,5055,10,1,1,1,1
city,CA,Lake Forest,2016,NA,NA,67,2,23,15,NA,NA,NA,5,2,ALP,Leah Basile,1,1,1,1,13912,10,1,1,1,1
city,CA,Lake Forest,2016,NA,NA,67,2,23,15,NA,NA,NA,5,2,ALP,Dwight Robinson,1,1,1,0,9984,10,1,1,1,1
2,CA,Lake Forest,2018,NA,NA,67,2,23,15,NA,NA,NA,5,1,SSD,Neeki Moatazedi,1,1,1,1,4194,5,1,1,1,1
4,CA,Lake Forest,2018,NA,NA,67,2,23,15,NA,NA,NA,5,1,SSD,Mark Tettemer,1,1,1,0,3333,5,0,1,1,0
6,CA,Lake Forest,2018,NA,NA,67,2,23,15,NA,NA,NA,5,1,SSD,Scott Voigts,1,1,1,0,4206,5,0,1,1,0
city,CA,Lakewood,2017,NA,NA,53,8,30,16,NA,NA,NA,5,3,ALP,Todd Rogers,2,1,1,0,4854,15,1,1,1,1
city,CA,Lakewood,2017,NA,NA,53,8,30,16,NA,NA,NA,5,3,ALP,Diane Dubois,2,1,1,1,4596,15,1,1,1,1
city,CA,Lakewood,2017,NA,NA,53,8,30,16,NA,NA,NA,5,3,ALP,Steve Croft,2,1,1,0,4596,15,1,1,1,1
city,CA,Lawndale,2018,NA,NA,48,8,60,11,NA,NA,NA,5,2,ALP,Bernadette Lourdes Suarez,NA,1,1,1,3609,10,1,1,1,1
city,CA,Lawndale,2018,NA,NA,48,8,60,11,NA,NA,NA,5,2,ALP,Pat Kearney,1,1,1,0,3024,10,1,1,1,1
city,CA,Livermore,2016,NA,NA,79,2,19,10,NA,NA,NA,5,2,ALP,"Bob Coomber,",2,1,1,0,18153,10,0,0,0,0
city,CA,Livermore,2016,NA,NA,79,2,19,10,NA,NA,NA,5,2,ALP,"Robert W Carling,",2,1,1,0,12427,10,0,0,0,0
city,CA,Livermore,2018,NA,NA,79,2,19,10,NA,NA,NA,5,2,ALP,"Bob Woerner,",1,1,1,0,15824,10,1,1,1,1
city,CA,Livermore,2018,NA,NA,79,2,19,10,NA,NA,NA,5,2,ALP,"Trish Munro,",2,1,1,1,10977,10,1,1,1,1
city,CA,Lomita ,2018,NA,NA,62,2,38,16,NA,NA,NA,5,3,ALP,Cindy Segawa,2,1,1,1,3733,15,1,1,1,1
city,CA,Lomita ,2018,NA,NA,62,2,38,16,NA,NA,NA,5,3,ALP,Mark Waronek,1,1,1,0,3543,15,1,1,1,1
city,CA,Lomita ,2018,NA,NA,62,2,38,16,NA,NA,NA,5,3,ALP,Jim Gazeley,2,1,1,0,3364,15,1,1,1,1
2,CA,Long Beach,2016,NA,NA,50,14,40,13,NA,NA,NA,9,1,SSD,Jeannine Pearce,NA,1,NA,NA,5706,9,0,0,0,0
5,CA,Long Beach,2018,NA,NA,50,14,40,13,NA,NA,NA,9,1,SSD,D5: Stacy Mungo,2,1,1,1,8390,9,1,1,1,1
7,CA,Long Beach,2018,NA,NA,50,14,40,13,NA,NA,NA,9,1,SSD,D7: Roberto Uranga,2,1,1,0,4733,9,0,1,1,0
city,CA,Los Alamitos,2016,NA,NA,73,3,21,14,NA,NA,NA,5,2,ALP,Josh Wilson,1,1,1,0,2676,10,0,0,0,0
city,CA,Los Alamitos,2016,NA,NA,73,3,21,14,NA,NA,NA,5,2,ALP,Richard Murphy,1,1,1,0,2245,10,0,0,0,0
city,CA,Los Alamitos,2018,NA,NA,73,3,21,14,NA,NA,NA,5,4,ALP,Mark Chirco,NA,1,1,0,2344,20,1,1,1,1
city,CA,Los Alamitos,2018,NA,NA,73,3,21,14,NA,NA,NA,5,4,ALP,Shelley Hasselbrink,1,1,1,1,2284,20,1,1,1,1
city,CA,Los Alamitos,2018,NA,NA,73,3,21,14,NA,NA,NA,5,4,ALP,Warren Kusumoto,1,1,4,0,1974,20,1,1,1,1
city,CA,Los Alamitos,2018,NA,NA,73,3,21,14,NA,NA,NA,5,4,ALP,Dean Grose,1,1,1,0,1890,20,1,1,1,1
1,CA,Los Angeles,2017,NA,NA,52,10,48,11,NA,NA,NA,15,1,SSD,"D1: Gilbert ""Gil"" Cedillo",2,1,2,0,10396,15,0,0,0,0
11,CA,Los Angeles,2017,NA,NA,52,10,48,11,NA,NA,NA,15,1,SSD,D11: Mike Bonin,2,1,1,0,31865,15,0,0,0,0
13,CA,Los Angeles,2017,NA,NA,52,10,48,11,NA,NA,NA,15,1,SSD,D13: Mitch O'Farrell,2,1,1,0,17053,15,0,0,0,0
15,CA,Los Angeles,2017,NA,NA,52,10,48,11,NA,NA,NA,15,1,SSD,D15: Joe Buscaino,2,1,1,0,12497,15,0,0,0,0
3,CA,Los Angeles,2017,NA,NA,52,10,48,11,NA,NA,NA,15,1,SSD,D3: Bob Blumenfield,2,1,1,0,19063,15,0,0,0,0
5,CA,Los Angeles,2017,NA,NA,52,10,48,11,NA,NA,NA,15,1,SSD,D5: Paul Kortez,2,1,1,0,25914,15,0,0,0,0
9,CA,Los Angeles,2017,NA,NA,52,10,48,11,NA,NA,NA,15,1,SSD,D9: Curren D. Price,2,1,3,0,6565,15,0,0,0,0
12,CA,Los Angeles,2019,NA,NA,52,10,48,11,NA,NA,NA,15,1,SSD,D12: John Lee,NA,1,NA,NA,19426,15,0,0,0,0
city,CA,Lynwood,2015,NA,NA,33,9,87,1,NA,NA,NA,5,2,ALP,Salvador Alatorre,NA,1,NA,NA,1092,10,0,0,0,0
city,CA,Lynwood,2015,NA,NA,33,9,87,1,NA,NA,NA,5,2,ALP,Aidé Castro,NA,1,NA,NA,1061,10,0,0,0,0
city,CA,Lynwood,2018,NA,NA,33,9,87,1,NA,NA,NA,5,3,ALP,José Luis Solache,2,1,2,0,5362,15,1,1,1,1
city,CA,Lynwood,2018,NA,NA,33,9,87,1,NA,NA,NA,5,3,ALP,Marisela Santana,NA,1,2,1,3304,15,1,1,1,1
city,CA,Lynwood,2018,NA,NA,33,9,87,1,NA,NA,NA,5,3,ALP,Jorge Casanova,NA,1,2,0,3190,15,1,1,1,1
city,CA,Malibu,2016,NA,NA,88,2,6,4,NA,NA,NA,5,3,ALP,Rick Mullen,NA,1,NA,NA,3888,15,0,0,0,0
city,CA,Malibu,2016,NA,NA,88,2,6,4,NA,NA,NA,5,3,ALP,"Jefferson ""Zuma Jay"" Wagner",NA,1,NA,NA,3619,15,0,0,0,0
